This file was created using the 201906 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Global.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200512   ,6611   ,3451   ,3453    ,883   ,1173    ,858
200601   ,6729   ,3527   ,3347    ,891   ,1184    ,870
200602   ,7338   ,3249   ,3090    ,912   ,1199    ,887
200603   ,7137   ,3338   ,3221    ,908   ,1205    ,885
200604   ,7241   ,3212   ,3207    ,921   ,1217    ,898
200605   ,6931   ,3486   ,3300    ,928   ,1218    ,900
200606   ,6445   ,3495   ,3773    ,911   ,1209    ,890
200607   ,6694   ,3357   ,3780    ,903   ,1197    ,882
200608   ,7053   ,3235   ,3649    ,886   ,1174    ,865
200609   ,7284   ,3138   ,3516    ,889   ,1172    ,865
200610   ,7317   ,3106   ,3547    ,885   ,1160    ,855
200611   ,7588   ,3101   ,3254    ,885   ,1165    ,861
200612   ,7518   ,2997   ,3460    ,887   ,1175    ,863
200701   ,7715   ,3022   ,3299    ,893   ,1175    ,868
200702   ,7913   ,3015   ,3096    ,891   ,1171    ,867
200703   ,7849   ,3000   ,3192    ,904   ,1183    ,877
200704   ,7840   ,3040   ,3194    ,910   ,1182    ,876
200705   ,7954   ,3141   ,3034    ,907   ,1169    ,870
200706   ,8160   ,2903   ,3118    ,896   ,1176    ,870
200707   ,7846   ,2863   ,3487    ,908   ,1193    ,879
200708   ,7322   ,3212   ,3674    ,908   ,1198    ,885
200709   ,6857   ,3464   ,3958    ,881   ,1158    ,855
200710   ,7206   ,3461   ,3683    ,867   ,1130    ,838
200711   ,7235   ,3671   ,3633    ,855   ,1133    ,836
200712   ,7480   ,3567   ,3642    ,842   ,1101    ,818
200801   ,7518   ,3843   ,3453    ,830   ,1115    ,812
200802   ,7628   ,3909   ,3271    ,821   ,1095    ,804
200803   ,7789   ,3804   ,3200    ,823   ,1102    ,807
200804   ,7601   ,3962   ,3250    ,814   ,1086    ,796
200805   ,7787   ,3850   ,3248    ,793   ,1061    ,779
200806   ,8101   ,3979   ,2809    ,802   ,1073    ,787
200807   ,8624   ,3912   ,2503    ,797   ,1069    ,779
200808   ,8182   ,4255   ,2671    ,792   ,1050    ,776
200809   ,7750   ,4319   ,3010    ,792   ,1051    ,770
200810   ,8159   ,3922   ,2934    ,769   ,1030    ,755
200811   ,7942   ,4015   ,3059    ,723    ,970    ,711
200812   ,7701   ,4145   ,3174    ,708    ,948    ,693
200901   ,7902   ,4125   ,2913    ,715    ,960    ,700
200902   ,8177   ,3785   ,2923    ,727    ,958    ,705
200903   ,7920   ,3986   ,2873    ,718    ,944    ,698
200904   ,7315   ,4188   ,3220    ,723    ,952    ,700
200905   ,7224   ,3853   ,3639    ,739    ,985    ,723
200906   ,7380   ,3799   ,3534    ,762   ,1015    ,740
200907   ,7415   ,3644   ,3602    ,770   ,1026    ,752
200908   ,6914   ,3800   ,3943    ,770   ,1026    ,744
200909   ,6818   ,3508   ,4221    ,775   ,1037    ,755
200910   ,6804   ,3370   ,4366    ,782   ,1041    ,757
200911   ,6355   ,3768   ,4394    ,772   ,1028    ,752
200912   ,5786   ,3986   ,4678    ,755   ,1001    ,735
201001   ,5620   ,4099   ,4626    ,756   ,1004    ,739
201002   ,5977   ,4257   ,3997    ,773   ,1021    ,752
201003   ,6022   ,3994   ,4108    ,774   ,1015    ,752
201004   ,6081   ,3685   ,4303    ,774   ,1021    ,752
201005   ,6439   ,3248   ,4279    ,796   ,1048    ,773
201006   ,6351   ,3516   ,4068    ,784   ,1045    ,770
201007   ,6436   ,3421   ,4005    ,786   ,1046    ,767
201008   ,6043   ,3605   ,4184    ,769   ,1036    ,756
201009   ,6570   ,3474   ,3770    ,769   ,1016    ,753
201010   ,6467   ,3606   ,3637    ,765   ,1028    ,754
201011   ,6980   ,3176   ,3567    ,768   ,1023    ,754
201012   ,6682   ,3381   ,3526    ,774   ,1041    ,764
201101   ,6222   ,3705   ,3975    ,790   ,1059    ,779
201102   ,6616   ,3513   ,3781    ,780   ,1045    ,772
201103   ,6307   ,3306   ,4192    ,783   ,1047    ,771
201104   ,6107   ,3160   ,4537    ,789   ,1048    ,775
201105   ,6644   ,3092   ,4081    ,790   ,1040    ,770
201106   ,6605   ,3323   ,3826    ,783   ,1033    ,765
201107   ,6699   ,3263   ,3740    ,778   ,1027    ,761
201108   ,6589   ,3272   ,3813    ,779   ,1040    ,767
201109   ,6308   ,3426   ,3929    ,774   ,1029    ,760
201110   ,5936   ,3469   ,4246    ,765   ,1009    ,745
201111   ,5669   ,3768   ,4205    ,754    ,992    ,734
201112   ,6414   ,3654   ,3553    ,743    ,983    ,729
201201   ,6408   ,3875   ,3376    ,741    ,979    ,723
201202   ,6431   ,4048   ,3101    ,754    ,995    ,736
201203   ,6504   ,3830   ,3252    ,754    ,991    ,734
201204   ,6694   ,3856   ,3086    ,748    ,982    ,731
201205   ,6508   ,3843   ,3273    ,742    ,984    ,726
201206   ,6488   ,3615   ,3511    ,736    ,971    ,720
201207   ,6113   ,3908   ,3607    ,730    ,973    ,716
201208   ,6699   ,3803   ,3118    ,714    ,956    ,704
201209   ,7072   ,3599   ,2898    ,719    ,951    ,703
201210   ,7278   ,3195   ,3017    ,723    ,955    ,705
201211   ,6821   ,3320   ,3321    ,722    ,946    ,702
201212   ,6721   ,3485   ,3230    ,711    ,944    ,697
201301   ,6960   ,3370   ,3021    ,714    ,949    ,704
201302   ,7327   ,3077   ,2935    ,713    ,954    ,706
201303   ,7213   ,3035   ,3099    ,710    ,953    ,705
201304   ,7458   ,2831   ,3001    ,711    ,952    ,706
201305   ,7570   ,2837   ,2897    ,709    ,942    ,699
201306   ,7867   ,2672   ,2707    ,714    ,941    ,698
201307   ,7502   ,2728   ,2995    ,714    ,944    ,701
201308   ,7325   ,2767   ,3092    ,709    ,950    ,702
201309   ,7298   ,2704   ,3145    ,721    ,959    ,709
201310   ,6962   ,2898   ,3265    ,734    ,972    ,722
201311   ,7003   ,2666   ,3499    ,724    ,962    ,716
201312   ,6714   ,2918   ,3528    ,725    ,968    ,717
201401   ,6635   ,2845   ,3645    ,725    ,966    ,716
201402   ,6783   ,2871   ,3400    ,736    ,985    ,729
201403   ,6041   ,3055   ,3944    ,737    ,975    ,724
201404   ,5933   ,3417   ,3700    ,739    ,980    ,728
201405   ,5395   ,3574   ,4082    ,726    ,972    ,718
201406   ,5870   ,3130   ,4062    ,730    ,967    ,716
201407   ,5970   ,3179   ,3867    ,740    ,988    ,731
201408   ,5955   ,3138   ,4001    ,737    ,986    ,728
201409   ,6154   ,3006   ,3919    ,739    ,976    ,727
201410   ,6123   ,2957   ,4041    ,719    ,958    ,709
201411   ,6130   ,3069   ,3948    ,719    ,959    ,710
201412   ,6345   ,3391   ,3450    ,709    ,940    ,698
201501   ,6699   ,3273   ,3159    ,714    ,953    ,706
201502   ,7565   ,2898   ,2652    ,708    ,950    ,701
201503   ,7221   ,3301   ,2600    ,707    ,946    ,700
201504   ,7629   ,3082   ,2358    ,712    ,953    ,706
201505   ,7464   ,3018   ,2604    ,722    ,962    ,716
201506   ,7182   ,2893   ,3014    ,725    ,975    ,720
201507   ,7309   ,2895   ,2861    ,741    ,996    ,735
201508   ,7151   ,2992   ,3049    ,720    ,967    ,718
201509   ,7253   ,2890   ,2770    ,727    ,970    ,723
201510   ,7063   ,3159   ,2889    ,724    ,964    ,715
201511   ,6365   ,3425   ,3368    ,719    ,954    ,708
201512   ,6463   ,3298   ,3344    ,725    ,963    ,714
201601   ,6562   ,3207   ,3365    ,721    ,965    ,716
201602   ,6062   ,3398   ,3732    ,710    ,935    ,698
201603   ,5595   ,3704   ,3849    ,709    ,947    ,701
201604   ,5407   ,3890   ,3861    ,718    ,956    ,709
201605   ,5541   ,3967   ,3662    ,730    ,962    ,719
201606   ,5509   ,3719   ,3891    ,724    ,960    ,717
201607   ,6020   ,4033   ,3188    ,717    ,958    ,711
201608   ,5391   ,3994   ,3686    ,721    ,965    ,718
201609   ,5776   ,3979   ,3481    ,724    ,966    ,718
201610   ,6093   ,3599   ,3482    ,731    ,980    ,725
201611   ,5455   ,3504   ,4200    ,731    ,976    ,724
201612   ,5213   ,3485   ,4452    ,731    ,982    ,725
201701   ,5219   ,3637   ,4346    ,737    ,978    ,726
201702   ,5282   ,3605   ,4278    ,737    ,979    ,729
201703   ,5216   ,3497   ,4479    ,735    ,979    ,724
201704   ,5351   ,3280   ,4616    ,730    ,979    ,722
201705   ,5836   ,3168   ,4270    ,730    ,977    ,725
201706   ,5759   ,3348   ,4163    ,730    ,972    ,722
201707   ,6121   ,3240   ,3933    ,739    ,991    ,732
201708   ,5840   ,3228   ,4212    ,742    ,988    ,732
201709   ,5989   ,3019   ,4281    ,738    ,986    ,732
201710   ,6271   ,2974   ,3984    ,742    ,994    ,735
201711   ,6201   ,3018   ,4066    ,737    ,989    ,732
201712   ,6510   ,2936   ,3888    ,736    ,994    ,732
201801   ,6520   ,3061   ,3815    ,744    ,995    ,739
201802   ,6709   ,3060   ,3661    ,740    ,991    ,732
201803   ,6737   ,3001   ,3677    ,740    ,995    ,735
201804   ,6489   ,3126   ,3816    ,743    ,994    ,738
201805   ,5962   ,3425   ,4020    ,744    ,998    ,739
201806   ,6147   ,3491   ,3818    ,753   ,1004    ,745
201807   ,6094   ,3778   ,3630    ,755   ,1001    ,745
201808   ,6362   ,3615   ,3584    ,741    ,992    ,732
201809   ,6755   ,3365   ,3433    ,733    ,981    ,727
201810   ,6727   ,3686   ,3210    ,725    ,971    ,717
201811   ,6789   ,3761   ,3158    ,713    ,953    ,707
201812   ,6567   ,3950   ,3267    ,703    ,945    ,701
201901   ,6995   ,3774   ,3024    ,699    ,935    ,691
201902   ,6983   ,3905   ,2926    ,702    ,935    ,693
201903   ,7677   ,3621   ,2505    ,703    ,936    ,692
201904   ,7862   ,3562   ,2454    ,688    ,914    ,679
201905   ,7704   ,3734   ,2445    ,684    ,912    ,677
201906   ,8318   ,3227   ,2394    ,677    ,913    ,674



  Average Firm Size
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011       ,63.30      ,108.94      ,110.04     ,2550.15     ,2586.53     ,2883.38
199012       ,61.90      ,103.56      ,108.11     ,2482.04     ,2398.50     ,2917.00
199101       ,65.62      ,106.54      ,111.03     ,2196.76     ,2739.70     ,2991.08
199102       ,67.84      ,110.61      ,118.31     ,1936.30     ,2718.58     ,3638.26
199103       ,79.08      ,121.12      ,123.37     ,1856.57     ,3171.57     ,3731.83
199104       ,77.70      ,119.54      ,119.76     ,1818.27     ,3007.98     ,3645.03
199105       ,74.63      ,121.67      ,123.78     ,2284.12     ,2877.28     ,3446.32
199106       ,79.45      ,116.67      ,116.59     ,2182.87     ,3201.88     ,3105.47
199107       ,75.79      ,119.96      ,102.62     ,1990.46     ,2601.12     ,3475.72
199108       ,79.09      ,119.09      ,103.19     ,1982.78     ,2976.88     ,3434.14
199109       ,76.43      ,114.89      ,114.09     ,2034.24     ,2880.71     ,3394.58
199110       ,79.87      ,122.93      ,117.33     ,2205.95     ,3018.59     ,3270.97
199111       ,80.75      ,118.37      ,112.52     ,2346.28     ,3082.91     ,3201.69
199112       ,78.06      ,110.82      ,103.98     ,2345.49     ,3121.79     ,2670.05
199201       ,83.66      ,120.01      ,103.61     ,2486.01     ,3339.55     ,2968.53
199202       ,80.05      ,116.46      ,108.32     ,2575.78     ,3255.11     ,2635.42
199203       ,81.80      ,115.02       ,99.16     ,2258.21     ,3193.55     ,2707.16
199204       ,79.63      ,106.89       ,93.75     ,2299.25     ,2867.28     ,2639.19
199205       ,78.78      ,107.53       ,91.81     ,2289.79     ,3113.74     ,2455.72
199206       ,82.85      ,113.09       ,93.83     ,2142.57     ,3309.34     ,2667.07
199207       ,79.54      ,109.68       ,91.60     ,2047.03     ,3214.69     ,2584.06
199208       ,77.29      ,105.39       ,90.83     ,2131.12     ,3307.57     ,2458.11
199209       ,79.35      ,108.37       ,92.24     ,2212.60     ,3453.96     ,2589.48
199210       ,80.12      ,105.03       ,89.69     ,1865.96     ,3419.37     ,2846.62
199211       ,77.85       ,96.56       ,89.35     ,2029.22     ,3186.39     ,2724.74
199212       ,76.59      ,102.86       ,94.73     ,2118.62     ,3342.82     ,2628.66
199301       ,79.14       ,99.87       ,92.98     ,2167.47     ,3335.77     ,2591.92
199302       ,77.89      ,102.71       ,94.26     ,1908.48     ,3387.22     ,2667.80
199303       ,78.86      ,105.59       ,93.89     ,2061.70     ,3239.06     ,2956.44
199304       ,82.53      ,116.50       ,98.65     ,2093.42     ,3238.27     ,3493.65
199305       ,85.67      ,115.46      ,104.85     ,2496.89     ,3294.86     ,3436.68
199306       ,89.33      ,125.20      ,101.99     ,2482.67     ,3265.04     ,3557.03
199307       ,82.31      ,121.32      ,105.15     ,2844.18     ,3056.53     ,3197.95
199308       ,83.72      ,120.81      ,107.74     ,2918.37     ,3217.03     ,3132.40
199309       ,88.08      ,128.74      ,109.90     ,3007.66     ,3564.99     ,2999.88
199310       ,86.65      ,127.98      ,104.00     ,2945.97     ,3445.57     ,2845.48
199311       ,87.65      ,123.63      ,104.68     ,2909.48     ,3733.56     ,2645.06
199312       ,85.58      ,115.79       ,95.89     ,2740.82     ,3118.01     ,2961.01
199401       ,91.14      ,120.86       ,95.19     ,2628.29     ,3470.74     ,2958.65
199402       ,94.31      ,127.31      ,108.25     ,2591.59     ,3836.39     ,3164.61
199403       ,91.49      ,126.15      ,104.65     ,2838.37     ,3701.29     ,2809.00
199404       ,90.28      ,119.65       ,98.24     ,2817.66     ,3433.10     ,2619.93
199405       ,89.62      ,121.15      ,102.57     ,2881.74     ,3571.49     ,2568.92
199406       ,92.72      ,119.18      ,101.27     ,2577.22     ,3755.10     ,2691.47
199407       ,91.18      ,121.36      ,102.11     ,2770.11     ,3386.07     ,2977.91
199408       ,87.62      ,124.38      ,104.82     ,3147.29     ,3258.86     ,2892.91
199409       ,92.99      ,121.86      ,108.44     ,3218.88     ,3411.08     ,2945.64
199410       ,90.18      ,121.89      ,103.93     ,2733.09     ,3417.19     ,3058.11
199411       ,90.73      ,120.98      ,107.82     ,3339.92     ,3507.66     ,2721.95
199412       ,85.35      ,114.81      ,104.77     ,2984.70     ,3514.02     ,2509.85
199501       ,87.35      ,115.98      ,102.04     ,2776.94     ,3443.51     ,2944.23
199502       ,80.91      ,118.54      ,105.34     ,2695.60     ,3456.33     ,2829.80
199503       ,82.19      ,119.63      ,108.39     ,2457.93     ,3458.73     ,3219.49
199504       ,86.61      ,123.51      ,116.30     ,2183.59     ,3721.64     ,3776.12
199505       ,89.49      ,127.32      ,114.81     ,2178.80     ,3879.24     ,4004.61
199506       ,90.49      ,121.90      ,119.15     ,2299.62     ,3809.14     ,4012.38
199507       ,89.01      ,124.99      ,123.80     ,2150.73     ,3523.34     ,4477.01
199508       ,93.69      ,127.72      ,126.93     ,2299.25     ,3889.07     ,4331.67
199509       ,94.61      ,120.49      ,126.30     ,2211.09     ,3828.07     ,4163.29
199510       ,94.43      ,125.65      ,127.97     ,2327.73     ,3917.05     ,4232.12
199511       ,91.72      ,123.50      ,124.30     ,2198.07     ,3987.84     ,4264.89
199512       ,94.36      ,125.00      ,126.37     ,2430.49     ,4140.33     ,4299.58
199601       ,96.60      ,128.36      ,129.96     ,2282.88     ,4258.54     ,4582.34
199602       ,94.82      ,131.32      ,138.94     ,2221.92     ,4549.05     ,4446.87
199603       ,96.80      ,134.65      ,135.07     ,2282.28     ,4529.48     ,4373.79
199604       ,97.41      ,135.23      ,133.47     ,2738.93     ,4423.56     ,4106.93
199605      ,102.64      ,138.23      ,136.97     ,2931.55     ,4574.30     ,3944.39
199606      ,100.37      ,137.94      ,137.36     ,3349.99     ,4680.20     ,3171.53
199607      ,101.33      ,136.92      ,131.85     ,3220.28     ,4775.03     ,3290.58
199608       ,98.43      ,132.21      ,124.22     ,3156.19     ,4144.30     ,3833.96
199609       ,99.54      ,133.49      ,126.27     ,2980.08     ,4018.37     ,4281.64
199610      ,100.70      ,139.09      ,130.62     ,3499.24     ,4426.38     ,3856.43
199611      ,100.42      ,135.43      ,131.38     ,3282.54     ,4441.74     ,3979.16
199612      ,103.44      ,139.52      ,135.23     ,3673.71     ,4608.44     ,4355.05
199701      ,106.39      ,137.08      ,129.76     ,3354.25     ,4781.94     ,4250.40
199702      ,106.38      ,138.54      ,127.53     ,3418.94     ,4839.49     ,4228.69
199703      ,104.80      ,136.10      ,132.03     ,3363.31     ,4393.43     ,5013.22
199704      ,104.38      ,132.31      ,125.46     ,3064.47     ,4450.66     ,4989.59
199705      ,105.54      ,136.58      ,127.11     ,2884.32     ,4292.21     ,6302.29
199706      ,113.51      ,150.65      ,138.32     ,2934.85     ,4365.94     ,6943.43
199707      ,114.36      ,160.82      ,147.69     ,3101.29     ,4943.64     ,6887.20
199708      ,113.83      ,168.51      ,166.18     ,3090.30     ,5630.05     ,7337.45
199709      ,108.56      ,164.51      ,161.31     ,2662.12     ,4964.69     ,7184.52
199710      ,113.32      ,166.16      ,166.13     ,3492.23     ,6089.24     ,6041.39
199711      ,107.41      ,156.03      ,158.98     ,3227.61     ,5752.42     ,5680.62
199712      ,102.21      ,151.79      ,162.37     ,3822.89     ,6278.72     ,5371.41
199801      ,103.99      ,160.43      ,159.68     ,3164.73     ,6313.68     ,6902.52
199802      ,107.45      ,163.15      ,172.07     ,3600.67     ,6408.77     ,6683.55
199803      ,115.13      ,169.55      ,191.18     ,4323.42     ,6313.26     ,7546.66
199804      ,114.86      ,187.19      ,209.19     ,4598.91     ,7014.58     ,7496.18
199805      ,114.16      ,182.85      ,210.85     ,4943.58     ,7577.76     ,6574.08
199806      ,115.96      ,179.23      ,195.61     ,4659.99     ,7903.88     ,6398.71
199807      ,121.02      ,180.97      ,189.39     ,5179.56     ,8138.06     ,7069.93
199808      ,116.76      ,178.00      ,187.78     ,5147.13     ,7904.70     ,8055.45
199809      ,103.89      ,157.49      ,161.05     ,3972.55     ,5817.84     ,9311.51
199810      ,108.41      ,146.73      ,162.87     ,4271.21     ,6379.09     ,9023.47
199811      ,117.87      ,160.45      ,183.22     ,4649.45     ,6685.39    ,10851.49
199812      ,120.62      ,176.61      ,199.69     ,4772.80     ,7947.43    ,10590.58
199901      ,128.12      ,181.73      ,195.44     ,4800.13     ,8051.78    ,12432.20
199902      ,126.73      ,192.04      ,220.89     ,5082.04     ,9397.18    ,11659.53
199903      ,125.86      ,180.00      ,197.33     ,4907.72     ,8218.91    ,12902.58
199904      ,135.80      ,180.83      ,198.39     ,4757.78     ,8885.98    ,13942.76
199905      ,140.36      ,200.73      ,204.94     ,4471.24     ,9368.71    ,14208.97
199906      ,137.96      ,192.18      ,203.24     ,4380.55     ,8385.24    ,13667.94
199907      ,141.12      ,197.50      ,215.28     ,5802.83     ,9343.37    ,12283.89
199908      ,136.76      ,190.64      ,223.74     ,5662.21     ,9353.06    ,12086.98
199909      ,133.53      ,195.34      ,226.58     ,6611.54     ,9872.26    ,10420.43
199910      ,136.70      ,187.30      ,223.22     ,6078.79     ,9786.56    ,10798.93
199911      ,144.06      ,191.71      ,214.24     ,6814.70    ,11716.47    ,11503.43
199912      ,154.99      ,198.13      ,220.34     ,6478.60    ,11720.00    ,13863.17
200001      ,169.21      ,203.31      ,243.56     ,6876.61    ,14072.03    ,15150.98
200002      ,153.70      ,201.09      ,246.12     ,7865.88    ,12373.52    ,13262.75
200003      ,168.56      ,199.68      ,240.81     ,7613.74    ,13161.82    ,13220.25
200004      ,183.32      ,194.88      ,239.43     ,8844.71    ,13246.35    ,15005.40
200005      ,170.83      ,190.44      ,215.56     ,7450.46    ,13653.61    ,14697.61
200006      ,158.25      ,192.60      ,227.10     ,7558.44    ,12172.83    ,14629.40
200007      ,165.47      ,208.97      ,234.84     ,8249.02    ,13122.23    ,13319.66
200008      ,156.62      ,207.65      ,236.12     ,7047.90    ,13551.50    ,13552.03
200009      ,161.26      ,220.93      ,252.00     ,8951.98    ,12735.39    ,14894.55
200010      ,150.71      ,217.81      ,251.83     ,8927.44    ,12656.83    ,13097.02
200011      ,141.27      ,211.28      ,239.32    ,10796.11    ,13944.67    ,10086.63
200012      ,129.36      ,205.28      ,234.12     ,9756.33    ,13725.52     ,8668.53
200101      ,132.49      ,203.67      ,238.63    ,11331.52    ,12637.27     ,9026.91
